codigo_cnes,nome_razao_social,nome_fantasia,codigo_tipo_unidade,codigo_cep_estabelecimento,endereco_estabelecimento,numero_estabelecimento,bairro_estabelecimento,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,codigo_uf,codigo_municipio,estabelecimento_possui_centro_obstetrico,estabelecimento_possui_atendimento_hospitalar,estabelecimento_possui_atendimento_ambulatorial,data_atualizacao
2330180,PREFEITURA MUNICIPAL DE SANTAREM,CENTRO DE REFERENCIA DO SIDADAO,36,68005110,AV BARAO DO RIO BRANCO,860,SANTA CLARA,-2.425579972575634,-54.714317321777344,15,150680,0.0,0.0,0,2025-09-03
2330830,MUNICIPIO DE ALTAMIRA,HOSPITAL GERAL DE ALTAMIRA SAO RAFAEL HGA,5,68371970,RUA SEIS,2089,MUTIRAO,-3.1860441805968294,-52.20661282539368,15,150060,1.0,1.0,1,2025-09-03
2331047,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA MORAES DE ALMEIDA,2,68187899,AVENIDA DOS TOPAZIOS,S/N,ZONA RURAL,-4.27661978505269,-55.990667939186096,15,150360,0.0,0.0,0,2025-09-30
2331055,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA BOM REMEDIO,2,68180440,AV RICARDO JOSE FERREIRA,S/N,BOM REMEDIO,-4.254905932105335,-55.988178849220276,15,150360,0.0,0.0,0,2025-09-30
2331063,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA DE BARREIRAS,2,68181000,RUA GILBERTO LAMEIRA,S/N,ZONA RURAL,-4.090241,-55.687561,15,150360,0.0,0.0,0,2025-09-30
2331071,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA DR CARLOS FURTADO,2,68180540,RUA MANOEL ALEXANDRE TRIGESIMA QUARTA,S/N,SANTO ANTONIO,-4.250626213966801,-55.99486827850342,15,150360,0.0,0.0,0,2025-09-30
2331098,MUNICIPIO DE ITAITUBA,HOSPITAL MUNICIPAL DE ITAITUBA,5,68181090,RUA MANOEL MENDES CASTRO,S/N,LIBERDADE,-4.274726066228715,-55.98912835121155,15,150360,1.0,1.0,1,2025-09-30
2331128,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA DA FLORESTA,2,68181000,DECIMA RUA,S/N,FLORESTA,-4.309438149956719,-55.964698791503906,15,150360,0.0,0.0,0,2025-09-30
2331136,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA JARDIM AEROPORTO,2,68181000,TERCEIRA RUA,S/N,JARDIM AEROPORTO,-4.240564,-56.01132,15,150360,0.0,0.0,0,2026-06-04
2331144,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA EDSON BOTELHO,2,68181010,AV MARECHAL RONDON,S/N,BOA ESPERANCA,-4.2757504938006585,-55.98973721265793,15,150360,0.0,0.0,0,2025-10-11
2331152,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA SAO TOME,2,68180400,AV CARLETO BERMEGUY DECIMA QUARTA,S/N,SAO TOME,-4.255983882362783,-55.978552401065826,15,150360,0.0,0.0,0,2025-10-11
2331160,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA DE MIRITITUBA,2,68181000,RUA PRINCIPAL,S/N,MIRITITUBA,-4.298324,-55.96304,15,150360,0.0,0.0,0,2025-09-30
2331179,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA CAMPO VERDE KM 30,2,68187899,RODOVIA SANTAREM CUIABA,S/N,ZONA RURAL,-3.7576246,-54.823387,15,150360,0.0,0.0,0,2025-09-30
2331292,PREFEITURA MUNICIPAL DE RUROPOLIS,HOSPITAL MUNICIPAL DE RUROPOLIS,5,68165000,TV DR OSVALDO CRUZ,80,CENTRO,-4.0983834,-54.9093551,15,150619,1.0,1.0,1,2025-10-11
2331845,MUNICIPIO DE CURUA,CENTRO DE SAUDE DE CURUA DR ALMIR GABRIEL,2,68210000,AV 07 DE SETEMBRO,S/N,PLANALTO,-1.8881693240708601,-55.118657648563385,15,150285,0.0,0.0,0,2025-09-03
2333031,FUNDACAO PUBLICA ESTADUAL HOSPITAL DE CLNICAS GASPAR VIANNA,HOSPITAL DE CLINICAS GASPAR VIANA,5,66120330,ALFERES COSTA,S/N,MARCO,-1.4103414,-48.4799141,15,150140,1.0,1.0,1,2025-09-03
2337339,HOSPITAL PRONTO SOCORRO MUNICIPAL MARIO PINOTTI,HOSPITAL PRONTO SOCORRO MUNICIPAL MARIO PINOTTI,5,66050430,TV 14 DE MARCO,500,UMARIZAL,-1.4396878,-48.4808636,15,150140,0.0,1.0,1,2026-07-23
2504901,PREFEITURA MUNICIPAL DE REDENCAO,HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI,5,68552645,AV BELO HORIZONTE,S/N,CAPUAVA II,-8.0472003,-50.0367958,15,150613,1.0,1.0,1,2025-10-14
2615746,PREFEITURA MUNICIPAL DE PARAUAPEBAS,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES,5,68515000,RUA A QD 07 LT ESPECIAL,433,CIDADE NOVA,-6.062351523742029,-49.90984593338561,15,150553,1.0,1.0,1,2025-09-03
2616211,MUNICIPIO DE PACAJA,HOSPITAL MUNICIPAL MARIA MAURA RODRIGUES DE JESUS,5,68485000,AV MARECHAL CASTELO BRANCO,S/N,CENTRO,-3.839816018219655,-50.6378960609436,15,150548,1.0,1.0,1,2025-09-03
2616394,PREFEITURA MUNICIPAL DE AURORA DO PARA,USF BERNARDO DE OLIVEIRA PANTOJA,2,68658000,VILA DE SANTANA DO CAPIM,S/N,ZONA RURAL,-2.0375128316714726,-47.750937938690186,15,150095,0.0,0.0,0,2025-09-03
2620065,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE KM 28,2,68181000,ROD TRANSAMAZONICA,S/N,ZONA RURAL,-4.353215160333173,-56.17116451263428,15,150360,0.0,0.0,0,2025-09-30
2620073,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA JARDIM DAS ARARAS,2,68180120,RUA ANTONIO GOMES DE PADUA,S/N,JARDIM DAS ARARAS,-4.264813388296912,-55.97893863916397,15,150360,0.0,0.0,0,2025-09-30
2620081,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE DA FAMILIA PIRACANA,2,68180505,RUA NICOLAU VARJAO,S/N,PIRACANA,-4.250406877771967,-55.99135458469391,15,150360,0.0,0.0,0,2026-06-04
2678594,PREFEITURA MUNICIPAL DE AURORA DO PARA,USF LUIZ VIDAL DE CARVALHO,2,68658000,RUA SAO PEDRO,S/N,APARECIDA,-2.136645832141356,-47.55500793457031,15,150095,0.0,0.0,0,2025-09-03
2694778,HPSM DR HUMBERTO MARADEI PEREIRA,HPSM DR HUMBERTO MARADEI PEREIRA,5,66075250,PASSAGEM SAO MIGUEL,100,GUAMA,-1.4754564662285279,-48.491446640430205,15,150140,0.0,1.0,1,2025-09-03
2711184,PREFEITURA MUNICIPAL DE PORTO DE MOZ,HOSPITAL MUNICIPAL ANA NERY,5,68330000,RUA DA REPUBLICA,1780,CENTRO,-1.754667,-52.238222,15,150590,1.0,1.0,1,2025-09-03
2752700,FUNDACAO SANTA CASA DE MISERICORDIA DO PARA,SANTA CASA DE MISERICORDIA DO PARA,5,66050380,RUA OLIVEIRA BELO,395,UMARIZAL,-1.44089898734057,-48.4808266512803,15,150140,1.0,1.0,1,2025-09-03
2793830,PREFEITURA MUNICIPAL DE BONITO,USF DE SANTO ANTONIO DO CUMARU,2,68645000,VILA SANTO ANTONIO DO CUMARU,S/N,CENTRO,-1.4010248929536324,-47.3331356048584,15,150160,0.0,0.0,0,2025-09-03
2793849,PREFEITURA MUNICIPAL DE BONITO,USF BOCA DE OUREM,2,68645000,VILA ESPERANCA,S/N,CENTRO,-1.3117645465542367,-47.21953868865967,15,150160,0.0,0.0,0,2025-09-03
2793911,PREFEITURA MUNICIPAL DE BONITO,USF CLODOALDO BASILIO I,2,68645000,SEGUNDA TRAVESSA,S/N,CESARLANDIA,-1.367707,-47.30612,15,150160,0.0,0.0,0,2026-07-07
2927187,MUNICIPIO DE MOJU,CTA SAE CENTRO DE TESTAGEM E ACONSELHAMENTO DE MOJU,39,68450000,RUA 31 DE MARCO,140,CENTRO,-1.8845154543235734,-48.766542971134186,15,150470,0.0,0.0,0,2025-09-03
3002845,MUNICIPIO DE ITAITUBA,CENTRO DE REFERENCIA DE SAUDE DA MULHER,36,68180020,AV GETULIO VARGAS,S/N,COMERCIO,-4.275581984920774,-55.98303437232971,15,150360,0.0,0.0,0,2026-06-04
3097730,PREFEITURA MUNICIPAL DE ABAETTUBA,CENTRO DE TESTAGEM E ACONSELHAMENTO,39,68440000,AV 15 DE AGOSTO,S/N,CENTRO,-1.7222498529417858,-48.889141380786896,15,150010,0.0,0.0,0,2025-09-03
4005732,BAIAO PREFEITURA,HOSPITAL MUNICIPAL SAO JOAQUIM,5,68465000,RUA LEVINDO ROCHA,S/N,NOVO SAO FRANCISCO,-2.8028616,-49.6683285,15,150120,1.0,1.0,1,2025-09-06
4190203,SECRETARIA EXECUTIVA DE SAUDE PUBLICA,HOSPITAL REGIONAL DA PA 279,5,68390000,RUA CAITETE,S/N,AZEVEC,-6.74942463148501,-51.07062220573425,15,150543,1.0,1.0,1,2025-09-03
5274990,SECRETARIA DE ESTADO DE SAUDE PUBLICA,HOSPITAL PUBLICO DA MULHER SENHORA DE NAZARE,5,66073220,AVENIDA GENTIL BITENCOURT,2175,SAO BRAS,-1.459845,-48.487825,15,150140,1.0,1.0,1,2025-09-03
5572924,PREFEITURA MUNICIPAL DE AURORA DO PARA,HOSPITAL MUNICIPAL DE AURORA DO PARA,5,68658000,RUA BENEDITO ALMEIDA,621,APARECIDA,-2.137782297668166,-47.55637049674988,15,150095,1.0,1.0,1,2025-12-09
5585422,SECRETARIA EXECUTIVA DE SAUDE PUBLICA,HOSPITAL REGIONAL DO BAIXO AMAZONAS DO PA DR WALDEMAR PENNA,7,68020000,AV SERGIO HENN,1100,DIAMANTINO,-2.4518525330431613,-54.715309739112854,15,150680,1.0,1.0,1,2025-09-03
5868483,CENTRO MATERNO,CENTRO DE PARTO NORMAL MARIA BRASIL,61,68170000,RUA BELEM,S/N,BOM PASTOR,-2.1583779087522057,-56.096073389053345,15,150390,1.0,1.0,1,2026-03-31
6221890,PREFEITURA MUNICIPAL DE BONITO,USF SAO JOAO DE PANELAS,2,68645000,RODOVIA MAGALHAES BARATA,S/N,ZONA RURAL,-1.4716198995191188,-47.410898208618164,15,150160,0.0,0.0,0,2025-09-03
6291821,PREFEITURA MUNICIPAL DE BONITO,USF ESTIVA,2,68645000,TRANS CUXIU,S/N,ZONA RURAL,-1.362970056036735,-47.30706453323364,15,150160,0.0,0.0,0,2025-09-03
6444261,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE CREPURIZINHO,2,68181000,COMUNIDADE DE CREPURIZINHO,S/N,ZONA RURAL,-4.220079037169984,-55.96435546875,15,150360,0.0,0.0,0,2025-09-30
6444288,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE CREPURIZAO,2,68181000,COMUNIDADE CREPURIZAO,S/N,ZONA RURAL,-4.30978050198082,-55.94856262207031,15,150360,0.0,0.0,0,2025-09-30
6703615,PREFEITURA MUNICIPAL DE BONITO,USF BOA ESPERANCA,2,68645000,BOA ESPERANCA,S/N,ZONA RURAL,-1.366874244274408,-47.3935604095459,15,150160,0.0,0.0,0,2025-09-03
6710158,SECRETARIA EXECUTIVA DE SAUDE PUBLICA,HOSPITAL REGIONAL PUBLICO DO MARAJO,5,68800000,AVENIDA RIO BRANCO,1266,CENTRO,-1.6816322968690174,-50.47978346165137,15,150180,0.0,1.0,1,2025-09-03
6731783,PREFEITURA MNICIPAL DE AURRA DO PARA,USF OSVALDO BOARETO,2,68658000,RUA ESTRELA DE OURO,56,CENTRO,-2.133504465509413,-47.55728244781494,15,150095,0.0,0.0,0,2025-09-03
6819605,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE MARIA MADALENA,2,68181000,ESTRADA DO JACAREZINHO,S/N,MARIA MADALENA,-4.222196,-56.001639,15,150360,0.0,0.0,0,2025-09-30
7090250,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE DO LIBERDADE,2,68181130,SETIMA TRAVESSA COM OITAVA RUA,S/N,LIBERDADE,-4.272891,-55.996616,15,150360,0.0,0.0,0,2025-09-30
7105185,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE JARDIM DO OURO,2,68181000,TRANSGARIMPEIRA,S/N,ZONA RURAL,-4.254841,-55.768801,15,150360,0.0,0.0,0,2026-06-04
7155840,PREFEITURA MUNICIPAL DE XINGUARA,UNIDADE DE PRONTO ATENDIMENTO DE XINGUARA,73,68555280,BR 155 ESQUINA COM AVENIDA HERMES DANTAS,S/N,CENTRO,-7.1071181942611625,-49.93768125772476,15,150840,0.0,0.0,0,2025-09-03
7191898,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE BELA VISTA,2,68181000,TRAVESSA QUINZE DE AGOSTO,S/N,BELA VISTA,-4.2735987,-55.9848623,15,150360,0.0,0.0,0,2025-09-30
7243995,PREFEITURA MUNICIPAL DE SAUDE,USF ALMERINDA TORRES BARBOSA,2,68658000,COMUNIDADE VILA FATIMA ROD BR 010 KM 75,S/N,ZONA RURAL,-2.2895248747913604,-47.56500720977783,15,150095,0.0,0.0,0,2025-09-03
7648839,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE VALE DO PIRACANA,2,68181000,AVENIDA PRINCIPAL,S/N,VALE DO PIRACANA,-4.242753,-55.974463,15,150360,0.0,0.0,0,2025-09-30
7765096,MUNICIPIO DE ITAITUBA,UNIDADE BASICA DE SAUDE VIVA ITAITUBA,2,68181000,RUA PRIMEIRO DE MAIO,S/N,VIVA ITAITUBA,-4.256277,-56.021007,15,150360,0.0,0.0,0,2025-09-30
7898355,MUNICIPIO DE ALTAMIRA,UPA 24 DE ALTAMIRA,73,68371970,RUA IRAPURU,458,JARDIM UIRAPURU,-3.2090538418759165,-52.22429394721985,15,150060,0.0,0.0,0,2025-09-03
7926774,MUNICIPIO DE ITAITUBA,UNIDADE DE SAUDE AGROVILA NOVA ESPERANCA,2,68187899,COMUNIDADE NOVA ESPERANCA,S/N,ZONA RURAL,-4.721472048572521,-56.025681495666504,15,150360,0.0,0.0,0,2026-07-23
9154388,SECRETARIA MUNICIPAL DE SAUDE,HOSPITAL MUNICIPAL DE NOVA IPIXUNA,5,68585000,RUA CACHOEIRA DA FUMACA,S/N,NOVA JERUZALEM,-4.9217467,-49.0771267,15,150497,1.0,1.0,1,2025-09-03
9581898,MUNICIPIO DE ITAITUBA,UBS DO BAIRRO DA PAZ RAIMUNDO NERES DOS SANTOS,2,68181000,RUA DEZ DE NOVEMBRO,S/N,DA PAZ,-4.255137,-56.011458,15,150360,0.0,0.0,0,2025-09-30
9711260,PREFEITURA MUNICIPAL DE AURORA DO PARA,USF PEDRO ALVES FERREIRA,2,68658000,VILA DO REPARTIMENTO,S/N,ZONA RURAL,-2.2353650483634064,-47.53412961959839,15,150095,0.0,0.0,0,2025-09-03
9785493,PREFEITURA MUNICIPAL DE VITORIA DO XINGU,CENTRO DE ATENCAO PSICOSSOCIAL DE VITORIA DO XINGU,70,68383000,RUA CARLOS DALLACQUA,S/N,JARDIM DALLACQUA,-2.890111059,-52.013403,15,150835,0.0,0.0,0,2025-09-03
